release_date,title,production_budget,domestic_gross_tn,worldwide_gross,domestic_gross_bom,foreign_gross,rating_tmdb,release_month,profit,roi,movie_id,primary_title,runtime_minutes,genres,rating_imdb,numvotes,original_title,rating,critic_score,id,studio,year
2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,241100000.0,804600000,6.4,May,635063875.0,1.5466728567949342,tt1298650,Pirates of the Caribbean: On Stranger Tides,136.0,"action, adventure, fantasy",6.6,447624.0,Pirates of the Caribbean: On Stranger Tides,6.5,,2,BV,2011
2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,459000000.0,946400000,7.3,May,1072413963.0,3.2438413883847548,tt2395427,Avengers: Age of Ultron,141.0,"action, adventure, sci-fi",7.3,665594.0,Avengers: Age of Ultron,7.3,,4,BV,2015
2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,678800000.0,"1,369.5",8.3,Apr,1748134200.0,5.827114,tt4154756,Avengers: Infinity War,149.0,"action, adventure, sci-fi",8.5,670926.0,Avengers: Infinity War,8.4,,7,BV,2018
2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,229000000.0,428900000,6.2,Nov,355945209.0,1.18648403,tt0974015,Justice League,120.0,"action, adventure, fantasy",6.5,329135.0,Justice League,6.35,,9,WB,2017
2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,200100000.0,680600000,6.4,Nov,579620923.0,1.9320697433333334,tt2379713,Spectre,148.0,"action, adventure, thriller",6.8,352504.0,Spectre,6.6,,10,Sony,2015
2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,448100000.0,636800000,7.7,Jul,809439099.0,2.9434149054545453,tt1345836,The Dark Knight Rises,164.0,"action, thriller",8.4,1387769.0,The Dark Knight Rises,8.05,,11,WB,2012
2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,213800000.0,179200000,6.6,May,118151347.0,0.4296412618181818,tt3778644,Solo: A Star Wars Story,135.0,"action, adventure, fantasy",7.0,226243.0,Solo: A Star Wars Story,6.8,,12,BV,2018
2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,89300000.0,171200000,6.0,Jul,-14997885.0,-0.05453776363636364,tt1210819,The Lone Ranger,150.0,"action, adventure, western",6.4,208827.0,The Lone Ranger,6.2,,13,BV,2013
2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,73100000.0,211100000,6.1,Mar,7778100.0,0.028284,tt0401729,John Carter,132.0,"action, adventure, sci-fi",6.6,241792.0,John Carter,6.35,,14,BV,2012
2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,200800000.0,391000000,7.5,Nov,326477240.0,1.2556816923076923,tt0398286,Tangled,100.0,"adventure, animation, comedy",7.8,366366.0,Tangled,7.65,,15,BV,2010
2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,408100000.0,745200000,7.4,May,890069413.0,3.560277652,tt3498820,Captain America: Civil War,147.0,"action, adventure, sci-fi",7.8,583507.0,Captain America: Civil War,7.6,,17,BV,2016
